rank,name,value,brand,prices,lastValue,month,
25,ID.4 CROZZ,9600,一汽-大众,18.73 - 28.73,6070,5
26,小鹏P5,9284,小鹏汽车,17.79 - 24.99,7250,5
27,几何A,9205,几何汽车,12.68 - 20.78,6974,5
28,零跑C11,9193,零跑汽车,17.98 - 23.98,6276,5
29,ZEEKR 001,8632,极氪,29.90 - 38.60,6467,5
30,奔奔E-Star,8485,长安汽车,4.98 - 7.48,15177,5
31,蔚来ES6,8036,蔚来,36.80 - 55.40,4814,5
32,哪吒U,7135,合众汽车,12.38 - 18.58,6244,5
33,比亚迪e2,7131,比亚迪,9.58 - 14.58,5351,5
34,启辰D60EV,6936,东风启辰,12.98 - 17.88,3885,5
35,ID.4 X,6772,上汽大众,18.93 - 28.63,0,5
36,名爵HS新能源,6600,上汽名爵,18.98 - 21.98,2895,5
37,荣威Ei5,6571,上汽集团,13.98 - 15.38,5498,5
38,蔚来ET7,6056,蔚来,44.80 - 52.60,0,5
39,秦新能源,6053,比亚迪,12.99 - 20.99,6038,5
40,凌宝BOX,5755,吉麦新能源,4.18 - 6.88,5555,5
41,红旗E-QM5,5661,一汽红旗,12.28 - 23.98,3648,5
42,宝骏KiWi EV,5561,上汽通用五菱,7.78 - 11.38,5188,5
43,威马E.5,5051,威马汽车,16.01 - 19.01,0,5
44,大众ID.3,4946,上汽大众,14.99 - 18.53,0,5
45,元pro,4860,比亚迪,9.28 - 11.28,6901,5
46,AION V,4857,广汽埃安,18.76 - 26.98,3192,5
47,荣威i6 MAX新能源,4586,上汽集团,13.68 - 18.88,3923,5
48,ID.6 CROZZ,4520,一汽-大众,23.98 - 33.69,0,5
49,宝马iX3,4474,华晨宝马,39.99 - 43.99,0,5
50,几何C,4343,几何汽车,12.98 - 20.78,3219,5
1,宏光MINIEV,102854,上汽通用五菱,3.28 - 9.99,80286,6
2,宋PLUS新能源,70774,比亚迪,15.28 - 21.68,64066,6
3,Model Y,68302,特斯拉中国,31.69 - 41.79,72589,6
4,秦PLUS,53473,比亚迪,11.18 - 17.58,41323,6
5,汉,51288,比亚迪,21.48 - 32.98,49373,6
6,Model 3,38821,特斯拉中国,26.67 - 33.99,38482,6
7,元PLUS,36423,比亚迪,13.78 - 16.58,28204,6
8,海豚,31381,比亚迪,10.28 - 13.08,16806,6
9,AION Y,24331,广汽埃安,13.76 - 20.26,20090,6
10,理想ONE,23446,理想,33.80 - 33.80,24520,6
11,小蚂蚁,21181,奇瑞新能源,7.39 - 9.40,19446,6
12,唐新能源,19922,比亚迪,20.58 - 33.98,16583,6
13,QQ冰淇淋,19054,奇瑞新能源,3.99 - 5.75,18906,6
14,哪吒V,18114,合众汽车,7.99 - 12.38,17031,6
15,东风EV新能源EX1,16854,东风汽车,5.57 - 6.27,15322,6
16,东风风神E70,15749,东风乘用车,14.28 - 15.38,12859,6
17,欧拉好猫,15588,长城新能源,12.99 - 17.10,12298,6
18,驱逐舰05,15012,比亚迪,11.98 - 15.58,12022,6
19,小鹏P7,14442,小鹏汽车,23.99 - 28.59,12269,6
20,赛那SIENNA,13339,广汽丰田,30.98 - 40.58,14865,6
21,问界M5,13149,金康赛力斯,25.98 - 33.18,12054,6
22,ID.4 CROZZ,12410,一汽-大众,18.73 - 28.73,9600,6
23,零跑T03,11873,零跑汽车,7.39 - 8.99,12135,6
